"Datum","Getränk","Volumn","bottle"
2021-01-03,"Wasser",0.5,"Keine"
2021-01-03,"Wasser",0.5,"Keine"
2021-01-04,"Wasser",0.5,"Keine"
2021-01-04,"Wasser",0.5,"Keine"
2021-01-04,"Wasser",0.5,"Keine"
2021-01-05,"Wasser",0.5,"Keine"
2021-01-05,"Wasser",0.5,"Keine"
2021-01-05,"Wasser",0.5,"Keine"
2021-01-05,"Wasser",0.5,"Keine"
2021-01-06,"Wasser",0.5,"Keine"
2021-01-06,"Wasser",0.5,"Keine"
2021-01-07,"Wasser",0.5,"Keine"
2021-01-07,"Wasser",0.5,"Keine"
2021-01-07,"Wasser",0.5,"Keine"
2021-01-07,"Wasser",0.5,"Keine"
2021-01-08,"Wasser",0.5,"Keine"
2021-01-08,"Wasser",0.5,"Keine"
2021-01-08,"Wasser",0.5,"Keine"
2021-01-08,"Wasser",0.5,"Keine"
2021-01-09,"Wasser",0.5,"Keine"
2021-01-09,"Wasser",0.5,"Keine"
2021-01-10,"Wasser",0.5,"Keine"
2021-01-10,"Wasser",0.5,"Keine"
2021-01-10,"Wasser",0.5,"Keine"
2021-01-10,"Wasser",0.5,"Keine"
2021-01-11,"Wasser",0.5,"Keine"
2021-01-11,"Wasser",0.5,"Keine"
2021-01-12,"Wasser",0.5,"Keine"
2021-01-12,"Wasser",0.5,"Keine"
2021-01-12,"Wasser",0.5,"Keine"
2021-01-12,"Wasser",0.5,"Keine"
2021-01-13,"Wasser",0.5,"Keine"
2021-01-13,"Wasser",0.5,"Keine"
2021-01-13,"Wasser",0.5,"Keine"
2021-01-14,"Wasser",0.5,"Keine"
2021-01-14,"Wasser",0.5,"Keine"
2021-01-15,"Wasser",0.5,"Keine"
2021-01-15,"Wasser",0.5,"Keine"
2021-01-16,"Wasser",0.5,"Keine"
2021-01-16,"Wasser",0.5,"Keine"
2021-01-05,"Tee",0.25,"Keine"
2021-01-05,"Tee",0.25,"Keine"
2021-01-06,"Tee",0.25,"Keine"
2021-01-06,"Tee",0.25,"Keine"
2021-01-09,"Tee",0.25,"Keine"
2021-01-09,"Tee",0.25,"Keine"
2021-01-11,"Tee",0.25,"Keine"
2021-01-13,"Tee",0.25,"Keine"
2021-01-13,"Tee",0.25,"Keine"
2021-01-15,"Tee",0.25,"Keine"
2021-01-16,"Tee",0.25,"Keine"
2021-01-05,"Kaffee",0.25,"Keine"
2021-01-06,"Kaffee",0.25,"Keine"
2021-01-07,"Kaffee",0.25,"Keine"
2021-01-09,"Kaffee",0.25,"Keine"
2021-01-09,"Kaffee",0.25,"Keine"
2021-01-10,"Kaffee",0.25,"Keine"
2021-01-10,"Kaffee",0.25,"Keine"
2021-01-11,"Kaffee",0.25,"Keine"
2021-01-14,"Kaffee",0.25,"Keine"
2021-01-15,"Kaffee",0.25,"Keine"
2021-01-15,"Kaffee",0.25,"Keine"
2021-01-08,"Bier",0.5,"0.5 Liter Flasche"
2021-01-08,"Bier",0.5,"0.5 Liter Flasche"
2021-01-08,"Bier",0.5,"0.5 Liter Flasche"
2021-01-08,"Bier",0.5,"0.5 Liter Flasche"
2021-01-14,"Bier",0.5,"0.5 Liter Flasche"
2021-01-15,"Bier",0.5,"0.5 Liter Flasche"
2021-01-15,"Bier",0.5,"0.5 Liter Flasche"
2021-01-15,"Bier",0.5,"0.5 Liter Flasche"
2021-01-15,"Bier",0.5,"0.5 Liter Flasche"
2021-01-15,"Bier",0.5,"0.5 Liter Flasche"
2021-01-15,"Bier",0.5,"0.5 Liter Flasche"
2021-01-09,"Cola",0.5,"0.5 Liter Flasche"
2021-01-09,"Cola",0.5,"0.5 Liter Flasche"
2021-01-09,"Cola",0.5,"0.5 Liter Flasche"
2021-01-16,"Cola",0.5,"0.5 Liter Flasche"
2021-01-16,"Cola",0.5,"0.5 Liter Flasche"
